date,ticker,close,open,high,low,volume
2025-12-19,NVDA,180.99,176.665,181.45,176.34,324925927.0
2025-12-18,NVDA,174.14,174.53,176.15,171.82,176096001.0
2025-12-17,NVDA,170.94,176.1,176.13,170.31,222775464.0
2025-12-16,NVDA,177.72,176.26,178.49,174.9,148588098.0
2025-12-15,NVDA,176.29,177.936,178.415,175.03,164775636.0
2025-12-12,NVDA,175.02,181.11,182.82,174.62,204274918.0
2025-12-11,NVDA,180.93,180.275,181.32,176.62,182136641.0
2025-12-10,NVDA,183.78,184.965,185.48,182.035,162785370.0
2025-12-09,NVDA,184.97,185.56,185.7167,183.32,144719705.0
2025-12-08,NVDA,185.55,182.64,188.0,182.4,204378106.0
2025-12-05,NVDA,182.41,183.89,184.66,180.91,143971098.0
2025-12-04,NVDA,183.38,181.62,184.515,179.96,167364857.0
2025-12-03,NVDA,179.59,181.08,182.45,179.1101,165138023.0
2025-12-02,NVDA,181.46,181.76,185.66,180.0,182632230.0
2025-12-01,NVDA,179.92,174.76,180.3,173.68,188130955.0
2025-11-28,NVDA,177.0,179.01,179.29,176.5,121332776.0
2025-11-26,NVDA,180.26,181.63,182.91,178.24,183852010.0
2025-11-25,NVDA,177.82,174.91,178.16,169.55,320600271.0
2025-11-24,NVDA,182.55,179.49,183.5,176.48,256618335.0
2025-11-21,NVDA,178.88,181.235,184.56,172.93,346926153.0
2025-11-20,NVDA,180.64,195.95,196.0,179.85,343504849.0
2025-11-19,NVDA,186.52,184.79,187.855,182.8301,247246436.0
2025-11-18,NVDA,181.36,183.375,184.8,179.65,213598877.0
2025-11-17,NVDA,186.6,185.965,189.0,184.32,173628858.0
2025-11-14,NVDA,190.17,182.86,191.01,180.58,186591856.0
2025-11-13,NVDA,186.86,191.05,191.44,183.85,207423074.0
2025-11-12,NVDA,193.8,195.72,195.89,191.13,154935263.0
2025-11-11,NVDA,193.16,195.155,195.42,191.3,176483327.0
2025-11-10,NVDA,199.05,195.11,199.94,193.79,198897134.0
2025-11-07,NVDA,188.15,184.9,188.32,178.91,264942255.0
2025-11-06,NVDA,188.08,196.42,197.62,186.38,223029778.0
2025-11-05,NVDA,195.21,198.77,202.92,194.65,171350332.0
2025-11-04,NVDA,198.69,203.0,203.9699,197.93,188919320.0
2025-11-03,NVDA,206.88,208.08,211.335,205.56,180267285.0
2025-10-31,NVDA,202.49,206.45,207.97,202.07,179802178.0
2025-10-30,NVDA,202.89,205.15,206.16,201.41,178864443.0
2025-10-29,NVDA,207.04,207.98,212.1899,204.775,308829564.0
2025-10-28,NVDA,201.03,193.05,203.15,191.91,297986180.0
2025-10-27,NVDA,191.49,189.99,192.0,188.4318,153452704.0
2025-10-24,NVDA,186.26,183.835,187.47,183.5,131296677.0
2025-10-23,NVDA,182.16,180.42,183.03,179.7901,111363718.0
2025-10-22,NVDA,180.28,181.14,183.44,176.76,162249552.0
2025-10-21,NVDA,181.16,182.785,182.785,179.8,124240168.0
2025-10-20,NVDA,182.64,183.13,185.2,181.73,128544711.0
2025-10-17,NVDA,183.22,180.18,184.1,179.75,173135217.0
2025-10-16,NVDA,181.81,182.23,183.28,179.77,179723309.0
2025-10-15,NVDA,179.83,184.8,184.87,177.29,214450482.0
2025-10-14,NVDA,180.03,184.77,184.8,179.7,205641380.0
2025-10-13,NVDA,188.32,187.965,190.1099,185.96,153482755.0
2025-10-10,NVDA,183.16,193.505,195.62,182.05,268774359.0
2025-10-09,NVDA,192.57,192.225,195.3,191.06,182997234.0
2025-10-08,NVDA,189.11,186.57,189.6,186.54,130168861.0
2025-10-07,NVDA,185.04,186.23,189.06,184.0,140088008.0
2025-10-06,NVDA,185.54,185.5,187.23,183.33,157678104.0
2025-10-03,NVDA,187.62,189.19,190.36,185.38,137596896.0
2025-10-02,NVDA,188.89,189.6,191.05,188.06,136805821.0
2025-10-01,NVDA,187.24,185.24,188.14,183.9,173844901.0
2025-09-30,NVDA,186.58,182.08,187.35,181.48,236981032.0
2025-09-29,NVDA,181.85,180.425,184.0,180.32,193063455.0
2025-09-26,NVDA,178.19,178.17,179.77,174.93,148573732.0
2025-09-25,NVDA,177.69,174.48,180.26,173.125,191586733.0
2025-09-24,NVDA,176.97,179.77,179.78,175.4,143564116.0
2025-09-23,NVDA,178.43,181.97,182.42,176.21,192559552.0
2025-09-22,NVDA,183.61,175.3,184.55,174.7053,269637001.0
2025-09-19,NVDA,176.67,175.77,178.08,175.18,237182143.0
2025-09-18,NVDA,176.24,173.98,177.1,172.96,191763313.0
2025-09-17,NVDA,170.29,172.64,173.2,168.41,211843817.0
2025-09-16,NVDA,174.88,177.0,177.5,174.38,140737775.0
2025-09-15,NVDA,177.75,175.67,178.85,174.51,147061559.0
2025-09-12,NVDA,177.82,177.77,178.595,176.45,124911026.0
